"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
2.21136449809278e-44,-1.04568533031771,0.022,0.105,3.94971813004352e-40,"PRKCSH",TRUE
1.00541951016331e-43,-0.368439839245418,0.888,0.942,1.79577978710268e-39,"EEF1A1",FALSE
1.3320281781209e-43,-0.7800724920235,0.097,0.222,2.37913552894174e-39,"CD68",TRUE
4.43513820557812e-43,-0.735122079410145,0.046,0.146,7.92160034898308e-39,"P2RX1",TRUE
4.72526997679593e-43,-0.572393880147239,0.229,0.392,8.43980470555522e-39,"JUN",TRUE
7.414940861615e-43,-0.576783616681154,0.038,0.133,1.32438258729306e-38,"RNF213",TRUE
7.61172976363428e-43,-0.864806118687573,0.083,0.197,1.35953105308272e-38,"MACF1",TRUE
1.35454444924362e-42,-0.65267034701418,0.039,0.134,2.41935184079402e-38,"AAK1",TRUE
1.47708613537495e-42,-0.449827663288921,0.105,0.234,2.63822354639321e-38,"USP48",FALSE
1.71644831707653e-42,-0.302879084693182,0.218,0.383,3.06574833913039e-38,"KMT2E",FALSE
1.83149616533168e-42,-0.322245540857747,0.094,0.224,3.2712353008989e-38,"BST2",FALSE
2.4954903269149e-42,-0.492033830782465,0.448,0.632,4.45719527290271e-38,"MT-ND1",FALSE
4.82859110541881e-42,-0.358061964613548,0.089,0.212,8.62434657338854e-38,"HNRNPA0",FALSE
5.04087786555986e-42,-0.366036886538603,0.068,0.182,9.00351195567647e-38,"DPP7",FALSE
1.11320794428671e-41,-0.47999049708582,0.099,0.221,1.98830070929049e-37,"ARGLU1",FALSE
2.30490451825273e-41,-0.874561869473202,0.028,0.113,4.11678996005121e-37,"ADGRE5",TRUE
2.60286543248447e-41,-0.665106570107274,0.035,0.126,4.64897794896051e-37,"STX10",TRUE
2.83581697832028e-41,-0.620284592341934,0.057,0.162,5.06505270497785e-37,"PPP1R15A",TRUE
3.51923649341304e-41,-0.477430236625382,0.053,0.156,6.28570830088504e-37,"SIVA1",FALSE
3.93711760177788e-41,1.86132237321069,0.15,0.059,7.03208574853547e-37,"RAMMET",TRUE
5.66100272716722e-41,-0.667728704575953,0.044,0.141,1.01111169709934e-36,"CD302",TRUE
5.70778558623867e-41,-0.439252468723224,0.787,0.854,1.01946758355809e-36,"RPL41",FALSE
7.98491382150836e-41,-0.726983575246768,0.118,0.244,1.42618545765961e-36,"DDX3X",TRUE
8.26999729397415e-41,-1.29326916882514,0.065,0.164,1.47710421667672e-36,"APLP2",TRUE
1.0601654994675e-40,-0.590625349201996,0.137,0.268,1.8935615985989e-36,"TGFB1",TRUE
1.81079992588306e-40,-0.458817313474834,0.543,0.708,3.23426974761972e-36,"RPS19",FALSE
2.11421689649536e-40,-0.752658433836811,0.04,0.132,3.77620279883037e-36,"TYMP",TRUE
2.1230964528346e-40,-0.796577451876995,0.103,0.22,3.79206257440789e-36,"GRK2",TRUE
2.31430366244137e-40,-0.68767140262819,0.115,0.239,4.13357777148652e-36,"FOXP1",TRUE
2.4912099578168e-40,-0.883169425204215,0.04,0.131,4.44955010565659e-36,"ADAR",TRUE
2.75245463389757e-40,-1.17888133867578,0.023,0.101,4.91615922160445e-36,"HSPA1A",TRUE
3.62262139597094e-40,-0.555937592689518,0.202,0.345,6.4703640753437e-36,"MBNL1",TRUE
4.02865878418995e-40,-0.603044842588886,0.078,0.186,7.19558745444168e-36,"SOD2",TRUE
5.1418397547106e-40,-0.346984645573577,0.379,0.559,9.18383998588859e-36,"EEF2",FALSE
6.74585443965306e-40,0.51250700140158,0.781,0.666,1.20487706146643e-35,"HPGD",TRUE
8.65606606233048e-40,-1.42730846250167,0.025,0.102,1.54605995939285e-35,"TARDBP",TRUE
8.70553895763489e-40,-0.476584169415369,0.058,0.16,1.55489631322317e-35,"CFDP1",FALSE
1.23269971984754e-39,-0.74183570203517,0.044,0.136,2.20172496961969e-35,"SMCHD1",TRUE
1.50989181856644e-39,-0.707925380385981,0.07,0.175,2.69681777714152e-35,"LENG8",TRUE
1.70741055158742e-39,-0.266772727572893,0.064,0.166,3.04960598619029e-35,"HLA-DRB1",FALSE
2.20609332887529e-39,-0.951807945570284,0.045,0.138,3.94030329470416e-35,"GALNT6",TRUE
2.71922653189295e-39,-0.361509763294117,0.068,0.176,4.85681050861399e-35,"TGOLN2",FALSE
