"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.47192758519368e-71,1.58030867069643,0.589,0.234,1.69178098599144e-66,"7","PSMA3"
1.10238098416827e-70,1.07714771334489,0.344,0.081,1.96896267582294e-66,"7","PKIG"
1.22328118472537e-70,1.21737553719706,0.321,0.073,2.18490252403799e-66,"7","HNRNPLL"
1.25955114652732e-70,1.5881181034542,0.703,0.382,2.24968430281244e-66,"7","RBM3"
1.30699160219046e-70,1.70625999644861,0.515,0.185,2.33441770067238e-66,"7","CCT5"
1.39173918445387e-70,1.78082345635185,0.309,0.071,2.48578535735305e-66,"7","IMPDH1"
1.7067508883946e-70,1.39164074361883,0.373,0.097,3.04842776176159e-66,"7","AKR1B1"
1.81016121596737e-70,1.12549452971197,0.363,0.091,3.23312894783931e-66,"7","HAT1"
1.88855136517115e-70,0.789286337932303,0.266,0.052,3.37314159333219e-66,"7","PNO1"
2.7818161930058e-70,1.26033875638898,0.874,0.708,4.96860190232765e-66,"7","RPL36"
3.19414329719623e-70,1.34145541543568,0.354,0.087,5.70505934312218e-66,"7","BCCIP"
3.24690536675438e-70,1.22399770052564,0.261,0.051,5.79929767556e-66,"7","CDC20"
6.25663188774995e-70,2.40264741048848,0.468,0.167,1.11749702147102e-65,"7","CMTM7"
6.4870900080209e-70,1.48432141813227,0.513,0.174,1.15865914633261e-65,"7","HPRT1"
7.09982453526578e-70,0.964683852355899,0.321,0.074,1.26809966024382e-65,"7","PPIE"
8.09737218680161e-70,1.30844950985365,0.297,0.064,1.44627164628464e-65,"7","ACYP1"
1.24429268123996e-69,1.34211694037395,0.456,0.135,2.22243115796269e-65,"7","SMC4"
1.29172524892456e-69,1.85542237646009,0.717,0.464,2.30715046710416e-65,"7","RPL3"
1.36556622327804e-69,1.30400270919477,0.306,0.068,2.43903783139691e-65,"7","POLDIP2"
1.4776648848659e-69,1.48933181347157,0.363,0.093,2.63925725085898e-65,"7","PSIP1"
1.59087661891363e-69,1.23441818070351,0.385,0.101,2.84146472904164e-65,"7","RPA3"
2.24331051461027e-69,1.37250250262107,0.347,0.085,4.0067769101454e-65,"7","COPS4"
2.90323940109658e-69,1.14068529461131,0.34,0.082,5.18547589429861e-65,"7","MRPL22"
3.66991983641122e-69,1.19506426384873,0.359,0.089,6.55484381981407e-65,"7","DNAJC9"
4.49722427453991e-69,1.73389548316393,0.406,0.119,8.03249227675573e-65,"7","PTPA"
7.03276569909537e-69,1.29121725117007,0.264,0.053,1.25612228151542e-64,"7","TMA16"
7.32400523246491e-69,1.55634533068634,0.363,0.093,1.30814057457056e-64,"7","UBE2E1"
1.03161947244714e-68,0.954159644311966,0.926,0.85,1.84257553973784e-64,"7","RPL35A"
1.102169841688e-68,1.43571414649169,0.316,0.073,1.96858555423895e-64,"7","IMPA2"
1.4330367997867e-68,1.57137123324887,0.663,0.311,2.55954702809902e-64,"7","ATP5MC1"
1.57926274562681e-68,1.26314360998391,0.392,0.107,2.82072118996405e-64,"7","TRIM27"
2.21362554748543e-68,1.52763389206861,0.494,0.161,3.95375659036373e-64,"7","PDAP1"
2.29633486895785e-68,0.756979086034363,0.762,0.331,4.10148370944562e-64,"7","HMGB2"
5.97689363643597e-68,1.1648265173659,0.283,0.06,1.06753297240383e-63,"7","TRNAU1AP"
7.03684437518364e-68,0.748582530376364,0.278,0.058,1.25685077385155e-63,"7","SFXN1"
8.58359565191343e-68,0.842429231315952,0.974,0.886,1.53311601938826e-63,"7","RPS8"
8.6730339300333e-68,1.69885577819942,0.506,0.178,1.54909059024325e-63,"7","CYC1"
9.3831112196345e-68,1.81226979620579,0.492,0.169,1.67591749493892e-63,"7","TMED3"
1.01896263584003e-67,1.62647110456564,0.254,0.051,1.81996916387388e-63,"7","CHERP"
1.06748834665583e-67,1.48465123250879,0.542,0.196,1.90664093596198e-63,"7","LSM6"
1.20725771480315e-67,1.87807471911382,0.359,0.092,2.15628300440991e-63,"7","E2F4"
1.3147638545115e-67,1.22959731977117,0.34,0.084,2.34829972054299e-63,"7","UTP11"
1.72536602039409e-67,1.65383758276849,0.857,0.766,3.08167624902589e-63,"7","RPLP0"
1.79101513094496e-67,1.70019629960378,0.387,0.109,3.19893212538079e-63,"7","SRSF6"
1.8180278765746e-67,0.920841435635592,0.936,0.846,3.2471795903499e-63,"7","RPS4X"
1.96552030315087e-67,1.19732730666559,0.43,0.125,3.51061581345777e-63,"7","UCHL5"
2.70330142068321e-67,1.32478471967736,0.371,0.099,4.82836666748228e-63,"7","SAMM50"
3.12527742152233e-67,1.669634984439,0.532,0.193,5.58205800258104e-63,"7","DDX39A"
4.76837708102841e-67,1.38053405587881,0.425,0.126,8.51679830442485e-63,"7","CCT3"
6.61902568029261e-67,1.72550787628,0.297,0.068,1.18222417675706e-62,"7","IFRD2"
7.63178278096668e-67,1.4021295961825,0.42,0.124,1.36311272250846e-62,"7","BCAS2"
1.32138439893294e-66,0.931091207619505,0.361,0.093,2.36012467493412e-62,"7","CMC1"
1.60616929549803e-66,1.14269741444133,0.399,0.112,2.86877897868903e-62,"7","HSPA9"
1.75652276015871e-66,1.02919602719861,0.287,0.062,3.13732530191948e-62,"7","PAF1"
1.84180105045204e-66,1.12052941591311,0.306,0.07,3.28964085621238e-62,"7","PMPCA"
3.1108300245849e-66,1.67397142574028,0.261,0.054,5.55625350691109e-62,"7","HDGFL2"
3.32737401934093e-66,1.38862824990069,0.325,0.08,5.94302273594483e-62,"7","PPA1"
3.95099194197487e-66,1.40094478105141,0.394,0.109,7.05686670756132e-62,"7","CPSF6"
4.57725103342105e-66,1.33311359081516,0.798,0.568,8.17542807079333e-62,"7","RPL36A"
5.92481588534795e-66,1.42715399186495,0.523,0.187,1.058231365282e-61,"7","TIMM13"
6.08398099470854e-66,1.33783745814755,0.361,0.094,1.08665984546489e-61,"7","STT3B"
8.07620125766686e-66,1.42920750514566,0.356,0.092,1.44249030663188e-61,"7","ELOF1"
9.36785389017315e-66,1.34849928265688,0.318,0.078,1.67319238332383e-61,"7","EFTUD2"
1.05997789995511e-65,0.949992867891292,0.34,0.085,1.89322652710982e-61,"7","OSGEP"
